Item,Option 1,Option 2,Option 3,Option 4,Correct
0,jealous,panicked,arrogant,hateful,2
1,playful,comforting,irritated,bored,1
2,terrified,upset,arrogant,annoyed,2
3,joking,flustered,desire,convinced,3
4,joking,insisting,amused,relaxed,2
5,irritated,sarcastic,worried,friendly,3
6,aghast,fantasizing,impatient,alarmed,2
7,apologetic,friendly,uneasy,dispirited,3
8,despondent,relieved,shy,excited,1
9,annoyed,hostile,horried,preoccupied,4
10,cautious,insisting,bored,aghast,1
11,terrified,amused,regretful,flirtatious,3
12,indifferent,embarrassed,skeptical,dispirited,3
13,decisive,anticipating,threatening,shy,2
14,irritated,disappointed,depressed,accusing,4
15,contemplative,flustered,encouraging,amused,1
16,irritated,thoughtful,encouraging,sympathetic,2
17,doubtful,affectionate,playful,aghast,1
18,decisive,amused,aghast,bored,1
19,arrogant,grateful,sarcastic,tentative,4
20,dominant,friendly,guilty,horrified,2
21,embarrassed,fantasizing,confused,panicked,2
22,preoccupied,grateful,insisting,imploring,1
23,contented,apologetic,defiant,curious,3
24,pensive,irritated,excited,hostile,1
25,panicked,incredulous,despondent,interested,4
26,alarmed,shy,hostile,anxious,2
27,joking,cautious,arrogant,reassuring,3
28,interested,joking,affectionate,contented,1
29,impatient,aghast,irritated,reflective,4
30,grateful,flirtatious,hostile,disappointed,2
31,ashamed,confident,joking,dispirited,2
32,serious,ashamed,bewildered,alarmed,1
33,embarrassed,guilty,fantasizing,concerned,4
34,aghast,baffled,distrustful,terrified,3
35,puzzled,nervous,insisting,contemplative,2
36,ashamed,nervous,suspicious,indecisive,3
