Item	Option 1	Option 2	Option 3	Option 4	Correct
0	jealous	panicked	arrogant	hateful	2.0
1	playful	comforting	irritated	bored	1.0
2	terrified	upset	arrogant	annoyed	2.0
3	joking	flustered	desire	convinced	3.0
4	joking	insisting	amused	relaxed	2.0
5	irritated	sarcastic	worried	friendly	3.0
6	aghast	fantasizing	impatient	alarmed	2.0
7	apologetic	friendly	uneasy	dispirited	3.0
8	despondent	relieved	shy	excited	1.0
9	annoyed	hostile		horried	
10	cautious	insisting	bored	aghast	1.0
11	terrified	amused		regretful	4.0
12	indifferent	embarrassed	skeptical	dispirited	3.0
13	decisive	anticipating	threatening	shy	2.0
14	irritated	disappointed	depressed	accusing	4.0
15	contemplative	flustered	encouraging	amused	1.0
16	irritated	thoughtful	encouraging	sympathetic	2.0
17	doubtful	affectionate	playful		1.0
18	decisive	amused		aghast	1.0
19	arrogant	grateful	sarcastic	tentative	4.0
20	dominant	friendly	guilty		2.0
21	embarrassed	fantasizing	confused	panicked	2.0
22	preoccupied	grateful	insisting	imploring	1.0
23	contented	apologetic	defiant	curious	3.0
24	pensive	irritated	excited		1.0
25	panicked	incredulous	despondent	interested	4.0
26	alarmed		shy		
27	joking		cautious	arrogant	3.0
28	interested	joking		affectionate	1.0
29	impatient	aghast		irritated	
30	grateful	flirtatious	hostile		2.0
31	ashamed		confident	joking	3.0
32	serious	ashamed		bewildered	1.0
33	embarrassed	guilty		fantasizing	
34	aghast		baffled		
35	puzzled		nervous	insisting	3.0
36	ashamed		nervous		
